Real,Previsto
1.0,1.91678
4.0,3.98
9.0,13.58
40.0,33.08
40.0,24.8
92.0,84.45572
8.0,20.3
19.0,16.9
24.0,24.72
13.0,19.22
53.0,47.18
35.0,26.250619999999998
36.0,38.96
35.0,41.76
21.0,14.6
42.0,30.64
30.0,29.14
80.0,57.2
7.0,13.52
5.0,9.18
17.0,15.66
68.0,42.02
12.0,12.9002
14.0,9.32
14.0,7.55152
1.0,2.8960266666666667
10.0,10.62
23.0,15.26988
7.0,6.72
17.0,7.68
19.0,28.02
8.0,4.36
3.0,9.62
32.0,29.2
8.0,12.52
36.0,26.38402
8.0,12.7
24.0,22.58
12.0,15.2
12.0,28.64
27.0,23.52
5.0,7.0
1.0,3.64
7.0,22.8
10.0,11.14
1.0,4.72
7.0,19.38
1.0,4.74
1.0,4.38
8.0,6.5
15.0,36.6
7.0,118.54
20.0,15.26
19.0,26.96
8.0,7.02
15.0,17.94
16.0,21.84
18.0,45.14
1.0,8.5
14.0,22.56
18.0,28.00056
18.0,22.86
26.0,39.114920000000005
18.0,74.24
16.0,25.98
12.0,6.62
19.0,15.4
12.0,15.86
3.0,2.2
2.0,7.358779999999999
2.0,8.0
2.0,14.16
6.0,5.72
2.0,6.2
3.0,8.12
11.0,8.3
2.0,4.24
1.0,7.34
6.0,3.88
3.0,10.12
4.0,10.82
1.0,4.96
3.0,5.98
9.0,3.22
4.0,5.62
7.0,4.94
1.0,5.22
3.0,8.5
7.0,6.48
10.0,9.36
12.0,4.96
8.0,5.92
1.0,5.5
1.0,5.24
3.0,3.58
5.0,19.82
14.0,10.2
3.0,2.1233333333333335
2.0,7.26
3.0,4.76
7.0,24.68402
3.0,5.96
12.0,6.34
18.0,35.96
1.0,30.46
12.0,28.74
5.0,9.52
16.0,14.0
11.0,10.32
10.0,5.48
8.0,8.69878
8.0,10.717559999999999
7.0,9.22
7.0,6.42
4.0,6.16
6.0,6.62
4.0,6.76
1.0,2.46
3.0,7.64
4.0,7.2
5.0,3.62
6.0,10.98
5.0,8.08
4.0,7.23908
1.0,4.28
1.0,2.96
7.0,6.98
6.0,6.02
1.0,6.4
1.0,8.88
5.0,6.98
251.0,401.92
62.0,94.5
53.0,47.22746
27.0,113.32
586.0,2266.18
1.0,6.82
24.0,50.44
42.0,54.3
40.0,79.92
1.0,3.42
19.0,34.04
98.0,101.96
19.0,80.7692
74.0,77.9
41.0,149.44
121.0,111.66
9.0,23.06
109.0,158.04
151.0,205.52
40.0,50.84
121.0,201.5
11.0,23.44668
47.0,46.0
56.0,52.26
33.0,70.96
20.0,37.16482
72.0,68.12
39.0,30.36
30.0,29.94
63.0,155.52
22.0,25.6
6.0,12.04
49.0,99.56
3.0,2.9
92.0,108.32
8.0,12.02
8.0,14.02
4.0,20.4
9.0,42.68
62.0,32.42
20.0,59.74
131.0,42.2
175.0,173.9
177.0,94.2
258.0,262.2
3.0,20.8
6.0,14.849960000000001
11.0,20.52
30.0,72.66
55.0,91.24
35.0,59.2
3.0,2.3
56.0,44.36
24.0,36.76
94.0,79.06
47.0,170.64
16.0,61.26
42.0,31.24
3.0,12.2
1.0,2.62
2.0,3.9
3.0,85.45824
74.0,55.42
1.0,10.86
39.0,35.60402
10.0,12.74
20.0,14.76
8.0,13.22
14.0,18.4
2.0,20.64
14.0,32.36
3.0,9.12
48.0,142.52
29.0,27.98
10.0,41.22
21.0,23.02
4.0,13.454960000000002
39.0,559.34
14.0,18.98
75.0,151.42
1.0,8.98
10.0,13.54
10.0,11.4
21.0,12.58
28.0,238.3
57.0,199.26768
121.0,154.16
3.0,24.7
8.0,27.92
2.0,98.78
63.0,44.02
52.0,148.78
64.0,98.02
4.0,16.7
5.0,16.74
28.0,72.32
2.0,58.58
177.0,380.48
153.0,168.02
14.0,63.94
19.0,25.9
41.0,80.84
10.0,12.08
49.0,75.5
6.0,13.4
24.0,49.78
7.0,87.82
90.0,122.22
29.0,137.06
20.0,41.52
42.0,98.08
57.0,118.88
48.0,99.84
132.0,163.16
5.0,12.88
132.0,51.5
16.0,12.58
5.0,35.54
3.0,30.92
19.0,18.66
62.0,58.18
2.0,9.56
7.0,147.08
257.0,168.08
42.0,45.74
62.0,95.02
5.0,11.74
20.0,73.44
2.0,21.42
7.0,4.08
11.0,5.14
6.0,24.0
39.0,74.84693999999999
2.0,3.04
1.0,3.48
3.0,5.38
3.0,4.16
1.0,5.6
2.0,2.9
12.0,16.48
31.0,60.82
7.0,8.22
20.0,37.36
2.0,3.1
6.0,5.96
8.0,6.66
14.0,9.74
2.0,7.14
9.0,8.56724
3.0,13.38
66.0,636.14
1.0,3.76
5.0,7.34
1.0,3.54
2.0,3.4
1.0,2.98
1.0,3.58
9.0,13.02
1.0,2.33
27.0,30.1
12.0,11.52
1.0,6.36
1.0,5.56
3.0,1.4714285714285713
1.0,5.66
1.0,3.66
2.0,2.7929199999999996
3.0,21.78
1.0,4.8
52.0,35.72746
17.0,14.59062
65.0,21.18
30.0,27.832759999999997
6.0,17.48
2.0,4.22
19.0,34.98
19.0,86.67572
104.0,963.08
5.0,23.66
22.0,12.4
27.0,40.12
6.0,7.74
5.0,8.7
5.0,8.7
9.0,18.08
7.0,4.083333333333333
5.0,14.1
2.0,16.56
6.0,20.12
1.0,2.2327752380952384
17.0,16.94
189.0,259.66
37.0,63.82
11.0,17.02
1.0,12.698599999999999
4.0,14.62
20.0,28.36
12.0,14.32
7.0,8.02
2.0,7.82
3.0,8.36
1.0,17.78
2.0,29.46
6.0,32.52
11.0,20.52
8.0,11.14
13.0,84.16
3.0,12.66
21.0,59.54
122.0,415.54
177.0,184.88
1.0,3.56
17.0,10.84
1.0,7.7
3.0,4.64
6.0,5.04
2.0,2.16
6.0,2.82
3.0,5.4
4.0,4.4
4.0,4.52
15.0,12.64
4.0,3.92
2.0,6.72
1.0,8.8
9.0,10.82
3.0,8.64
7.0,8.74
15.0,33.77516
8.0,21.3
2.0,3.58
17.0,14.08
11.0,4.58
9.0,13.84
24.0,19.02
2.0,16.26
2.0,5.0
4.0,5.32
3.0,7.1
32.0,25.2
3.0,10.36
18.0,17.86
11.0,22.7
2.0,2.42
3.0,6.08
1.0,4.54
1.0,4.5
12.0,17.82
24.0,11.88
6.0,14.06
13.0,7.62
5.0,4.78
9.0,9.7
