Data,PRODUTO,Real,Linear Regression,Random Forest,Gradient Boosting
2024-01-01,MARSH RECHEADO TORCAO 80G FINI,8.0,0.0,14.18,17.26730392472384
2024-01-01,MARSHMALLOW ALVORADA 250G FINI,113.0,0.0,99.22,89.15734176495789
2024-01-01,MARSHMALLOW BORBOLETA 250G FINI,132.0,0.0,122.92,107.77137279546776
2024-01-01,MARSHMALLOW CAMPING 250G,135.0,0.0,190.92,167.72444932727882
2024-01-01,MARSHMALLOW CAMPING 80G FINI,8.0,0.0,8.02,17.66365649221949
2024-01-01,MARSHMALLOW CORACAO 250G FINI,135.0,0.0,121.96,107.42755742726679
2024-01-01,MARSHMALLOW FLOR 250G FINI,100.0,0.0,103.64,78.02336494752541
2024-01-01,MARSHMALLOW FLOR 80G FINI,12.0,0.0,17.6,17.66365649221949
2024-01-01,MARSHMALLOW ALVORADA 80G FINI,12.0,0.0,14.88,17.26730392472384
2024-01-01,M&M S CRISPY POUCH 120G,13.0,0.0,16.94,17.66365649221949
2024-01-01,MARGARINA LECO S/ SAL EM SACHE10G VIGOR,104.0,796.9506040231724,881.08,1067.7590512045215
2024-01-01,M&M'S CHOCOLATE AO LEITE POUCH 148G,95.0,0.0,381.98,891.8220119686442
2024-01-01,MACA KOKOTINHA 250ML FORS,91.0,0.0,52.48,32.437543207859726
2024-01-01,MARIA MOLE COCO 50G DR OETKER,9.0,0.0,16.7,25.16097024198941
2024-01-01,MALETA ACRILICA TRANSPARENTE MIRANDINHA,18.0,0.0,33.68,10.057511145946282
2024-01-01,MAMADEIRA BICO BRANCO ROSA 50ML,4.0,0.0,6.0,17.26730392472384
2024-01-01,MARABU FINA C/BRILHO FESTCENTER,70.0,0.0,114.1,265.1373563016335
2024-01-01,MARGARINA AMELIA USO GERAL  1.010KG VIGOR,7.0,0.0,4.14,17.26730392472384
2024-01-01,MARGARINA LECO C/ SAL EM SACHE 10G VIGOR,4.0,0.0,12.12,28.401280742156327
2024-01-01,MAMADEIRA BICO AZUL 50ML MIRANDINHA,5.0,0.0,3.18,17.26730392472384
2024-01-01,INTEGRAL MEDICA CRISP BAR 45G CHURROS FLORMEL,13.0,0.0,22.02,17.26730392472384
2024-01-01,LACO DE CETIM BRANCO 3MM C/100 LACO&CIA,13.0,0.0,7.82,17.26730392472384
2024-01-01,GUARDANAPO FOLHA DUPLA GRANDE C/60 SNOB,30.0,0.0,44.8,48.85603337049389
2024-01-01,GUARDANAPO GDE C/50 SANTEPEL,61.0,0.0,92.04,60.32121735894599
2024-01-01,GUARDANAPO LARANJA 33X33 C/20 SILVER PLASTIC,5.0,0.0,3.546666666666667,17.26730392472384
2024-01-01,GUARDANAPO PEQ C/50 SANTEPEL,397.0,139.77370074898653,250.48,309.6740504409081
2024-01-01,GUARDANAPO PRETO 25X25 C/20 SILVER PLASTIC,11.0,0.0,7.1,17.26730392472384
2024-01-01,GUARDANAPO ROSA BEBE 25X25 C/20 SILVER PLASTIC,11.0,0.0,6.78,17.26730392472384
2024-01-01,GUARDANAPO ROSA BEBE 33X33 C/20 SILVER PLASTIC,4.0,0.0,2.26,17.26730392472384
2024-01-01,GUARDANAPO ROXO 33X33 C/20 SILVER PLASTIC,2.0,0.0,3.97,17.26730392472384
2024-01-01,GUARDANAPO FOLHA DUPLA 23.5X23.5 C/50 SNOB,4.0,0.0,125.8,93.32774342973838
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 VERMELHO CREPADO APT,12.0,0.0,47.5,50.78369216359384
2024-01-01,GUARDANAPO BRANCO 25X25 C/20 SILVER PLASTIC,3.0,0.0,11.5,17.26730392472384
2024-01-01,GUARDANAPO BRANCO 33X33 C/20 SILVER PLASTIC,2.0,0.0,6.2,17.26730392472384
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 AMARELO CREPADO APT,7.0,0.0,15.72,19.194962717823795
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 AZUL CLARO CREPADO APT,28.0,0.0,23.06,19.194962717823795
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 AZUL ESCURO CREPADO APT,7.0,0.0,37.64,19.591315285319446
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 AZUL MEDIO CREPADO APT,11.0,0.0,25.94,17.26730392472384
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 CHAMPANHE CREPADO APT,10.0,0.0,6.5,17.26730392472384
2024-01-01,GUARDANAPO TIPO TV 14X14CM C/1500 DUBELLY,7.0,0.0,7.28,17.26730392472384
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 LARANJA CREPADO APT,21.0,0.0,15.28,19.194962717823795
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 MARROM CREPADO APT,8.0,0.0,10.72724,17.26730392472384
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 PINK CREPADO APT,44.0,0.0,26.22,19.591315285319446
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 PRETO CREPADO APT,19.0,0.0,22.3,19.591315285319446
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 ROSA CLARO CREPADO APT,29.0,0.0,17.56,20.007996332159426
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 ROSA CREPADO APT,23.0,0.0,19.52,19.591315285319446
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 ROXO CREPADO APT,22.0,0.0,15.84,17.26730392472384
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 VERDE BANDEIRA CREPADO APT,20.0,0.0,28.26,41.50010215852305
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 VERDE CLARO CREPADO APT,8.0,0.0,15.12,19.194962717823795
2024-01-01,GUARDANAPO COLORIDO 20X23CM C/50 LILAS CREPADO APT,2.0,0.0,11.64,19.194962717823795
2024-01-01,GUARDANAPO VERDE 25X25 C/20 SILVER PLASTIC,3.0,0.0,22.3,25.16097024198941
2024-01-01,GUARDANAPO VERMELHO 25X25 C/20 SILVER PLASTIC,6.0,0.0,16.1,40.37527328220327
2024-01-01,INTEGRAL MEDICA CRISP BAR 45G DOCE DE COCO,21.0,0.0,24.9,21.93565512525938
2024-01-01,INTEGRAL MEDICA CRISP BAR 45G NINO/CR AVELA,34.0,0.0,25.68,19.591315285319446
2024-01-01,INTEGRAL MEDICA CRISP BAR 45G PEANUT BUTTER,17.0,0.0,17.72,17.26730392472384
2024-01-01,INTEGRAL MEDICA CRISP BAR 45G ROMEU JULIETA,4.0,0.0,15.82,17.26730392472384
2024-01-01,INTEGRAL MEDICA CRISP BAR 45G TORTA LIMAO,13.0,0.0,24.86,17.66365649221949
2024-01-01,INTEGRAL MEDICA CRISP BAR 45G TRUFA AVELA FLORMEL,32.0,0.0,45.94,25.70758510100121
2024-01-01,ISOMALTE 150G ICEBERG,2.0,0.0,5.28,17.26730392472384
2024-01-01,INTEGRAL MEDICA CRISP BAR 45G CHEESECAKE FRUTAS FLORMEL,1.0,0.0,22.66,17.26730392472384
2024-01-01,GUARDANAPO XADREZ AZUL ESCURO 20X21CM C/50 FLIP ,5.0,0.0,4.76,17.26730392472384
2024-01-01,GUARDANAPO XADREZ VERDE ESC 20X21CM C/50 FLIP ,11.0,0.0,9.66,17.26730392472384
2024-01-01,HERSHEY'S COOKIES N CREME 102G,13.0,0.0,55.17470000000001,46.49154309788503
2024-01-01,GUARDANAPO XADREZ VERMELHO 20X21CM C/50 FLIP,4.0,0.0,12.28,17.26730392472384
2024-01-01,H2OH LIMONETO PET 500ML RIZATTI,99.0,0.0,158.6,260.75749664537466
2024-01-01,GUINDASTE PARA BOLO 16CM C/2 BLUESTAR,3.0,0.0,3.74,17.26730392472384
2024-01-01,JOGO DE ESTECAS GRANDE MOD 2 C/8 MAGO,2.0,0.0,3.26,17.26730392472384
2024-01-01,GRAN CHOC MIL CORES CROCANTE 500G MAVALERIO,4.0,0.0,15.74,20.007996332159426
2024-01-01,GRANOLA BANANA E MEL 800G KOBBER,1.0,0.0,1.7566666666666666,17.26730392472384
2024-01-01,GRANOLA CACAU NATURAL LIGHT 250G KOBBER,5.0,0.0,8.60576,17.26730392472384
2024-01-01,GRANOLA CACAU NATURAL LIGHT 800G KOBBER,9.0,0.0,9.42,17.26730392472384
2024-01-01,GRANOLA LIGHT VILLAMAR 1KG KOBBER,3.0,0.0,6.34,17.26730392472384
2024-01-01,GRANOLA TRADICIONAL 250G KOBBER,9.0,0.0,6.98,17.26730392472384
2024-01-01,GOTAS DE CHOCOLATE CHIPSHOW 1.01KG HARALD,162.0,0.0,204.66,309.2778591898585
2024-01-01,GOTAS DE CHOCOLATE BRANCO CHIPSHOW 1.01KG HARALD,30.0,0.0,32.44746,32.46088033894989
2024-01-01,GOMA XANTANA 50G MAGO,15.0,0.0,12.6,17.26730392472384
2024-01-01,GOIABADA 30G RALSTON,100.0,0.0,91.56,129.369009083716
2024-01-01,GOIABADA CASCAO 300G MINEIRAO,0.0,0.0,314.24,56.78645237869371
2024-01-01,GOIABADA CASCAO 500G BIRO BIRO,1.0,0.0,9.48,17.26730392472384
2024-01-01,MELKEN GRANULE CHOC M.AMARGO 400G HARALD,28.0,0.0,36.46,50.78369216359384
2024-01-01,GRANOLA TRADICIONAL 800G KOBBER,17.0,0.0,6.0,17.26730392472384
2024-01-01,GRANOLA TRADICIONAL VILLAMAR 1KG KOBBER,35.0,0.0,27.56,30.533221545849926
2024-01-01,GRANOLA ZERO 250G KOBBER,1.0,0.0,4.68,17.26730392472384
2024-01-01,GRANOLA ZERO 800G KOBBER,5.0,0.0,4.24,17.26730392472384
2024-01-01,GUARANA CHP ANTARCTICA LATA 350ML RIZATTI,82.0,0.0,119.16,152.42007084506582
2024-01-01,GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPACK,33.0,0.0,15.12,17.66365649221949
