"LOJA";"CODIGO";"PRODUTO";"DEPARTAMENTO";"QUANTIDADE";"MES"
"7";"51583";"ACUCAR CRISTAL VERDE 500G MIX";"CONFEITARIA";"1";"2022-11"
"1";"51583";"ACUCAR CRISTAL VERDE 500G MIX";"CONFEITARIA";"2";"2022-11"
"4";"51613";"ACUCAR CRISTAL VERDE 80G MIX";"CONFEITARIA";"3";"2022-11"
"7";"51613";"ACUCAR CRISTAL VERDE 80G MIX";"CONFEITARIA";"1";"2022-11"
"1";"51590";"ACUCAR CRISTAL VERMELHO 500G MIX";"CONFEITARIA";"1";"2022-11"
"4";"51606";"ACUCAR CRISTAL VERMELHO 80G MIX";"CONFEITARIA";"13";"2022-11"
"5";"401449";"ACUCAR CRISTAL 5KG SANTA ISABEL";"CONFEITARIA";"1";"2022-11"
"1";"401449";"ACUCAR CRISTAL 5KG SANTA ISABEL";"CONFEITARIA";"2";"2022-11"
"5";"197724";"ACUCAR DE CONFEITEIRO ARCOPAN 1KG ARCOLOR";"CONFEITARIA";"4";"2022-11"
"4";"197724";"ACUCAR DE CONFEITEIRO ARCOPAN 1KG ARCOLOR";"CONFEITARIA";"5";"2022-11"
"7";"197724";"ACUCAR DE CONFEITEIRO ARCOPAN 1KG ARCOLOR";"CONFEITARIA";"2";"2022-11"
"1";"197724";"ACUCAR DE CONFEITEIRO ARCOPAN 1KG ARCOLOR";"CONFEITARIA";"18";"2022-11"
"1";"216869";"ACUCAR DE CONFEITEIRO SNOW SUGAR 500G MAVALERIO";"CONFEITARIA";"1";"2022-11"
"7";"216869";"ACUCAR DE CONFEITEIRO SNOW SUGAR 500G MAVALERIO";"CONFEITARIA";"2";"2022-11"
"5";"216869";"ACUCAR DE CONFEITEIRO SNOW SUGAR 500G MAVALERIO";"CONFEITARIA";"2";"2022-11"
"7";"198967";"ACUCAR DE CONFEITEIRO 1KG MIX";"CONFEITARIA";"2";"2022-11"
"4";"198967";"ACUCAR DE CONFEITEIRO 1KG MIX";"CONFEITARIA";"1";"2022-11"
"5";"198967";"ACUCAR DE CONFEITEIRO 1KG MIX";"CONFEITARIA";"1";"2022-11"
"4";"540711";"ACUCAR DE CONFEITEIRO 500G FINE LINE";"CONFEITARIA";"1";"2022-11"
"1";"437882";"ACUCAR DE CONFEITEIRO 500G ICEBERG";"CONFEITARIA";"1";"2022-11"
"5";"437882";"ACUCAR DE CONFEITEIRO 500G ICEBERG";"CONFEITARIA";"2";"2022-11"
"1";"439459";"ACUCAR GELADO 1KG MIX";"CONFEITARIA";"1";"2022-11"
"5";"439459";"ACUCAR GELADO 1KG MIX";"CONFEITARIA";"4";"2022-11"
"4";"439459";"ACUCAR GELADO 1KG MIX";"CONFEITARIA";"3";"2022-11"
"4";"51125";"ACUCAR IMPALPAVEL EXTRA FINO 1KG ARCOLOR";"CONFEITARIA";"1";"2022-11"
"1";"51125";"ACUCAR IMPALPAVEL EXTRA FINO 1KG ARCOLOR";"CONFEITARIA";"11";"2022-11"
"4";"50289";"ACUCAR IMPALPAVEL 1KG HARALD";"CONFEITARIA";"12";"2022-11"
"5";"50289";"ACUCAR IMPALPAVEL 1KG HARALD";"CONFEITARIA";"16";"2022-11"
"1";"50289";"ACUCAR IMPALPAVEL 1KG HARALD";"CONFEITARIA";"45";"2022-11"
"7";"50289";"ACUCAR IMPALPAVEL 1KG HARALD";"CONFEITARIA";"5";"2022-11"
"4";"194648";"ACUCAR IMPALPAVEL 1KG MIX";"CONFEITARIA";"6";"2022-11"
"1";"194648";"ACUCAR IMPALPAVEL 1KG MIX";"CONFEITARIA";"4";"2022-11"
"5";"194648";"ACUCAR IMPALPAVEL 1KG MIX";"CONFEITARIA";"4";"2022-11"
"4";"437899";"ACUCAR IMPALPAVEL 500G ICEBERG";"CONFEITARIA";"4";"2022-11"
"5";"437899";"ACUCAR IMPALPAVEL 500G ICEBERG";"CONFEITARIA";"4";"2022-11"
"4";"62602";"ACUCAR MASCAVO 1KG FAVINHO";"CONFEITARIA";"3";"2022-11"
"1";"62602";"ACUCAR MASCAVO 1KG FAVINHO";"CONFEITARIA";"6";"2022-11"
"5";"62602";"ACUCAR MASCAVO 1KG FAVINHO";"CONFEITARIA";"1";"2022-11"
"7";"62602";"ACUCAR MASCAVO 1KG FAVINHO";"CONFEITARIA";"6";"2022-11"
"5";"259774";"ACUCAR MASCAVO 500G FAVINHO";"CONFEITARIA";"2";"2022-11"
"1";"259774";"ACUCAR MASCAVO 500G FAVINHO";"CONFEITARIA";"1";"2022-11"
"4";"259774";"ACUCAR MASCAVO 500G FAVINHO";"CONFEITARIA";"10";"2022-11"
"7";"259774";"ACUCAR MASCAVO 500G FAVINHO";"CONFEITARIA";"3";"2022-11"
"4";"191814";"ACUCAR REFINADO SACHE C/400 UNIAO";"CONFEITARIA";"4";"2022-11"
"1";"191814";"ACUCAR REFINADO SACHE C/400 UNIAO";"CONFEITARIA";"8";"2022-11"
"7";"191814";"ACUCAR REFINADO SACHE C/400 UNIAO";"CONFEITARIA";"1";"2022-11"
"1";"54164";"ACUCAR REFINADO 1KG UNIAO";"CONFEITARIA";"9";"2022-11"
